no-score,params,iteration,train_time
3849.557489999737,"{'batch_size': 47, 'n_hidden': 172, 'lr': 0.9009865144762925, 'n_epochs': 113, 'n_lags': 13}",42,68.2647286650008
408.49839610308464,"{'batch_size': 56, 'n_hidden': 105, 'lr': 0.15287973235329924, 'n_epochs': 163, 'n_lags': 9}",43,48.80211200899976
3460.694199537746,"{'batch_size': 118, 'n_hidden': 200, 'lr': 0.6260747661847115, 'n_epochs': 313, 'n_lags': 6}",44,102.49096207700131
261.26289908870484,"{'batch_size': 137, 'n_hidden': 147, 'lr': 0.08768076710921405, 'n_epochs': 82, 'n_lags': 31}",45,76.49177670600147
40.09156041607009,"{'batch_size': 84, 'n_hidden': 162, 'lr': 0.0014600321765553164, 'n_epochs': 223, 'n_lags': 20}",46,163.18366230099855
2992.8879838689554,"{'batch_size': 149, 'n_hidden': 152, 'lr': 0.7648903540910802, 'n_epochs': 271, 'n_lags': 20}",47,200.05292588699922
261.445842941539,"{'batch_size': 83, 'n_hidden': 81, 'lr': 0.26045561456075517, 'n_epochs': 231, 'n_lags': 26}",48,164.16789390099984
32.33257997565991,"{'batch_size': 67, 'n_hidden': 162, 'lr': 0.00205764387553322, 'n_epochs': 465, 'n_lags': 30}",49,572.3254855150008
1624.0056227853668,"{'batch_size': 26, 'n_hidden': 127, 'lr': 0.4644872295201536, 'n_epochs': 470, 'n_lags': 41}",50,749.1611324859987
280.11573411661226,"{'batch_size': 40, 'n_hidden': 99, 'lr': 0.10766175498646444, 'n_epochs': 460, 'n_lags': 36}",51,524.0904213610011
481.79116288773895,"{'batch_size': 52, 'n_hidden': 26, 'lr': 0.3789639543066613, 'n_epochs': 498, 'n_lags': 45}",52,315.0376713730002
1199.1783815976491,"{'batch_size': 65, 'n_hidden': 140, 'lr': 0.1929992107397216, 'n_epochs': 424, 'n_lags': 29}",53,385.8510123970009
380.6860945160854,"{'batch_size': 12, 'n_hidden': 113, 'lr': 0.35801731355815364, 'n_epochs': 406, 'n_lags': 31}",54,1014.9777541020012
270.8049017477587,"{'batch_size': 69, 'n_hidden': 188, 'lr': 0.043017631854094025, 'n_epochs': 385, 'n_lags': 38}",55,813.2377689759996
853.2985869656295,"{'batch_size': 93, 'n_hidden': 62, 'lr': 0.9342260947516714, 'n_epochs': 328, 'n_lags': 34}",56,135.75878908600134
840.018403589338,"{'batch_size': 36, 'n_hidden': 163, 'lr': 0.2578344271543014, 'n_epochs': 411, 'n_lags': 48}",57,813.3928474839995
1092.939211709665,"{'batch_size': 30, 'n_hidden': 120, 'lr': 0.4417918806068874, 'n_epochs': 348, 'n_lags': 40}",58,551.5332859819973
734.5316534083613,"{'batch_size': 120, 'n_hidden': 175, 'lr': 0.12642880324245842, 'n_epochs': 377, 'n_lags': 27}",59,367.4843998920005
2704.207415922574,"{'batch_size': 100, 'n_hidden': 146, 'lr': 0.5044072337271814, 'n_epochs': 473, 'n_lags': 43}",60,535.9986188389994
1815.187580404035,"{'batch_size': 127, 'n_hidden': 98, 'lr': 0.5496044630915038, 'n_epochs': 500, 'n_lags': 36}",61,248.27781464500003
1889.7001605381117,"{'batch_size': 111, 'n_hidden': 135, 'lr': 0.6232388655416756, 'n_epochs': 451, 'n_lags': 31}",62,339.1820090539986
515.5423480771207,"{'batch_size': 70, 'n_hidden': 87, 'lr': 0.33670742997332737, 'n_epochs': 331, 'n_lags': 19}",63,111.55319749800037
298.11824535497624,"{'batch_size': 62, 'n_hidden': 66, 'lr': 0.18684644768255826, 'n_epochs': 296, 'n_lags': 15}",64,78.773068642
1057.5236868530249,"{'batch_size': 77, 'n_hidden': 182, 'lr': 0.27823882303581315, 'n_epochs': 193, 'n_lags': 22}",65,217.9697461169999
628.9576526066435,"{'batch_size': 86, 'n_hidden': 160, 'lr': 0.02731260282216628, 'n_epochs': 269, 'n_lags': 12}",66,155.61040376500023
40.631011886698644,"{'batch_size': 95, 'n_hidden': 164, 'lr': 0.00712148415660574, 'n_epochs': 222, 'n_lags': 28}",67,339.6291119410016
