,capital
532,1.22
533,1.21
534,1.2
535,1.17
536,1.15
537,1.16
538,1.16
539,1.17
540,1.17
541,1.17
542,1.18
543,1.18
544,1.18
545,1.15
546,1.16
547,1.14
548,1.21
549,1.23
550,1.19
551,1.16
552,1.16
553,1.14
554,1.12
555,1.14
556,1.13
557,1.12
558,1.12
559,1.12
560,1.11
561,1.1
562,1.09
563,1.1
564,1.1
565,1.11
566,1.09
567,1.1
568,1.09
569,1.09
570,1.1
571,1.1
572,1.11
573,1.11
574,1.12
575,1.13
576,1.11
577,1.11
578,1.12
579,1.12
580,1.12
581,1.12
582,1.12
583,1.13
584,1.13
585,1.15
